,Indicator,Type,Organization,Rating,Confidence,DateAdded,Description,Source,Tags
3350,79.127.57.43,Address,abuse.ch Feodo Tracker,3.0,5,2019-10-23T02:55:08Z,,,Heodo;
3351,58.171.42.66,Address,abuse.ch Feodo Tracker,3.0,5,2019-12-06T02:55:10Z,,,Heodo;
3352,81.241.22.161,Address,abuse.ch Feodo Tracker,3.0,5,2020-11-08T02:55:15Z,,,Heodo;
3353,128.199.200.38,Address,abuse.ch Feodo Tracker,3.0,65,2021-05-17T18:00:58Z,,,2021-05-17;2021-05-18;2021-05-19;
3354,92.60.235.135,Address,abuse.ch Feodo Tracker,3.0,23,2021-02-04T02:55:31Z,,,2021-02-04;2021-02-05;2021-02-07;2021-02-08;2021-02-09;2021-02-10;
3355,185.99.2.160,Address,abuse.ch Feodo Tracker,3.0,5,2020-10-09T02:55:55Z,,,TrickBot;
3356,169.1.39.242,Address,abuse.ch Feodo Tracker,3.0,5,2020-10-30T02:55:14Z,,,Heodo;
3357,94.212.52.40,Address,abuse.ch Feodo Tracker,3.0,5,2020-10-14T02:55:16Z,,,Heodo;
3358,173.212.192.45,Address,abuse.ch Feodo Tracker,3.0,5,2020-08-16T02:55:58Z,,,Heodo;
3359,5.196.161.148,Address,abuse.ch Feodo Tracker,3.0,5,2020-08-15T02:56:12Z,,,Heodo;
3360,170.130.31.177,Address,abuse.ch Feodo Tracker,3.0,5,2019-11-07T02:55:09Z,,,Heodo;
3361,93.147.137.162,Address,abuse.ch Feodo Tracker,3.0,5,2020-04-16T02:55:10Z,,,Heodo;
3362,186.146.229.172,Address,abuse.ch Feodo Tracker,3.0,17,2020-11-08T02:55:14Z,,,2021-01-26;Heodo;
3363,46.254.128.174,Address,abuse.ch Feodo Tracker,3.0,65,2021-05-18T17:00:36Z,,,2021-05-18;2021-05-19;
3364,175.207.12.52,Address,abuse.ch Feodo Tracker,3.0,17,2020-02-20T02:55:11Z,,,2021-01-26;Heodo;
3365,5.196.108.189,Address,abuse.ch Feodo Tracker,3.0,5,2020-09-29T02:55:12Z,,,Heodo;
3366,154.91.33.137,Address,abuse.ch Feodo Tracker,3.0,5,2020-10-27T02:55:16Z,,,Heodo;
3367,153.174.73.130,Address,abuse.ch Feodo Tracker,3.0,5,2020-10-20T02:55:49Z,,,Heodo;
3368,190.164.75.175,Address,abuse.ch Feodo Tracker,3.0,5,2020-07-25T02:55:13Z,,,Heodo;
3369,162.154.175.215,Address,abuse.ch Feodo Tracker,3.0,5,2020-01-30T02:55:08Z,,,Heodo;
3370,5.1.81.68,Address,abuse.ch Feodo Tracker,3.0,5,2020-05-18T02:55:09Z,,,TrickBot;
3371,5.181.156.226,Address,abuse.ch Feodo Tracker,3.0,5,2020-11-08T02:55:20Z,,,TrickBot;
3372,78.158.171.245,Address,abuse.ch Feodo Tracker,3.0,59,2021-04-13T08:00:37Z,,,2021-04-13;
3373,210.65.244.179,Address,abuse.ch Feodo Tracker,3.0,65,2021-05-07T09:00:32Z,,,2021-05-07;2021-05-08;2021-05-09;2021-05-10;2021-05-11;2021-05-12;2021-05-13;2021-05-14;2021-05-15;2021-05-16;2021-05-17;2021-05-18;2021-05-19;2021-05-20;2021-05-21;2021-05-22;2021-05-23;2021-05-24;2021-05-25;2021-05-26;2021-05-27;2021-05-28;2021-05-29;2021-05-30;2021-05-31;2021-06-01;2021-06-02;2021-06-03;2021-06-04;2021-06-05;2021-06-06;
3374,186.82.11.76,Address,abuse.ch Feodo Tracker,3.0,5,2020-11-29T02:57:10Z,,,Heodo;
3375,76.11.76.47,Address,abuse.ch Feodo Tracker,3.0,5,2021-01-09T02:56:18Z,,,Heodo;
3376,147.91.184.91,Address,abuse.ch Feodo Tracker,3.0,5,2020-08-11T02:55:14Z,,,Heodo;
3377,155.186.0.121,Address,abuse.ch Feodo Tracker,3.0,5,2020-09-23T02:55:19Z,,,Heodo;
3378,188.2.217.94,Address,abuse.ch Feodo Tracker,3.0,5,2020-08-13T02:55:19Z,,,Heodo;
3379,189.1.185.98,Address,abuse.ch Feodo Tracker,3.0,5,2020-07-29T02:55:12Z,,,Heodo;
3380,76.171.227.238,Address,abuse.ch Feodo Tracker,3.0,5,2020-10-17T02:55:15Z,,,Heodo;
3381,185.205.209.241,Address,abuse.ch Feodo Tracker,3.0,5,2020-08-05T02:55:12Z,,,TrickBot;
3382,201.250.54.115,Address,abuse.ch Feodo Tracker,3.0,5,2020-06-10T02:55:39Z,,,Heodo;
3383,185.163.47.157,Address,abuse.ch Feodo Tracker,3.0,5,2020-11-08T02:55:14Z,,,TrickBot;
3384,210.65.244.187,Address,abuse.ch Feodo Tracker,3.0,65,2021-05-19T21:00:51Z,,,2021-05-19;2021-05-20;2021-05-21;2021-05-22;2021-05-23;2021-05-24;2021-05-25;2021-05-26;2021-05-27;2021-05-28;2021-05-29;2021-05-30;2021-05-31;2021-06-01;2021-06-02;2021-06-03;2021-06-04;2021-06-05;2021-06-06;
3385,181.30.69.50,Address,abuse.ch Feodo Tracker,3.0,5,2020-04-07T02:55:29Z,,,Heodo;
3386,194.5.249.126,Address,abuse.ch Feodo Tracker,3.0,5,2020-10-09T02:55:11Z,,,TrickBot;
3387,186.84.173.153,Address,abuse.ch Feodo Tracker,3.0,5,2019-10-24T02:55:10Z,,,Heodo;
3388,190.181.235.46,Address,abuse.ch Feodo Tracker,3.0,5,2020-04-04T02:55:11Z,,,Heodo;
3389,190.101.156.139,Address,abuse.ch Feodo Tracker,3.0,5,2020-10-22T02:55:15Z,,,Heodo;
